points0,points1,points2
-5.78246770561973,88.8226128877436,-43.2806274841465
55.5351588378418,-68.8315523918604,-65.5462297041712
12.6237790416424,-3.67863563587126,11.8163192809088
-37.1595393844244,-87.1464625706539,17.6366217285449
-27.0694528167264,-82.2850896411038,-44.981574602647
22.6804073477199,35.3350586491968,-69.2423582338811
-76.7509953813871,8.3508455144115,65.448022846533
55.1621230023746,59.9559995760615,19.5510497476304
-94.9649670271696,49.0739936431019,58.9429865319455
-53.6280133386843,-21.3013972880977,-73.7562779796313
-19.0460527190617,-84.3424600498783,-58.6176984770234
83.3356754911856,-43.0126054760383,99.5429412666337
61.733669434523,20.904055909461,44.1895840480535
-9.85310477762411,96.5462707136854,72.2870426917985
-8.84969012294813,87.2028684946901,-46.3922404478215
48.191078519727,-68.773294910334,-61.6706332389683
9.2674687529493,-5.50944327577759,9.92565243843797
-33.8204795702146,-82.3138615746047,14.8097657806447
-28.6021908749703,-83.1939484669494,-47.0135933683734
23.2071325363915,39.3146366622341,-67.6604072257125
-75.7692889325186,7.81795033769831,68.2935340191403
-6.71017597639788,82.9202450616496,-45.8030626067751
57.5322619560579,61.9386357970888,22.062388361523
-97.9525683912722,46.3818264780706,60.4919605315145
-54.8069425137751,-22.3868535451538,-74.7177411263835
-22.3857950135206,-88.274211711999,-57.1032031598514
88.3042600330128,-41.8143761240612,98.9047975059817
67.1888765220565,23.1184446193321,44.0816662798576
-5.2703922031664,88.8457978993722,-44.6260657172655
47.7591793017345,-68.477693464143,-61.3296508957373
5.13418406963784,-5.07120558050335,5.29255375845043
-27.4539048414672,-81.8032461379961,11.5299282321808
-26.944575655636,-87.5977199893105,-47.0169280787752
16.2496167665205,38.3103089078305,-69.3598202123978
-76.5127998371245,7.15242049556509,61.7507251130057
-9.25819153721366,79.5144983281451,-47.016186645622
56.1920164503986,57.7824910698063,16.6365005018845
-98.092206140364,46.9640017989794,63.2770646388329
-53.1283647515914,-29.6011976357001,-79.3026425489907
-19.0778460337892,-87.4374957558361,-55.7752886246875
63.9492210530475,22.3073087229008,44.4173442597949
45.2186992060519,-66.9529399995166,-61.1669250858531
-11.837560747682,76.4826844119972,-45.9541297178717
45.9326385579215,-69.6926783328013,-63.8139300532273
8.32728066006347,-8.96573019806717,9.71573012683174
-24.5742020862308,-82.1976598436718,12.3054090594503
-29.1191344386235,-88.7362500957856,-45.6012465951122
11.3044263318811,42.4989720546757,-72.2462697432446
-74.0739233539861,7.01808326779355,58.3727302691809
-7.89370896847921,79.589147145659,-46.2312212004729
54.8265658831244,54.5491401969631,15.4249582285829
-96.9637791699327,51.5253673552337,67.5869997520852
